ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
SAM+双CLIP（完整）,"{'use_sam': 1, 'multi_clip': 2}",MUUFL,4;7,road;buildings,11,0.608440,0.000000,0.326725,0.000000,0.476583,0.000000,0.803181,0.000000,0.677880,0.000000,0.739354,0.000000,0.881057,0.000000,0.557655,0.000000,0.683008,0.000000,0.704733,0.000000,0.557042,0.000000,0.622244,0.000000,12.50,0.01
仅ERS+双CLIP,"{'use_sam': 0, 'multi_clip': 2}",MUUFL,4;7,road;buildings,11,0.605283,0.000000,0.318403,0.000000,0.477282,0.000000,0.721821,0.000000,0.619296,0.000000,0.629915,0.000000,0.871113,0.000000,0.251140,0.000000,0.389879,0.000000,0.702971,0.000000,0.242758,0.000000,0.360890,0.000000,15.95,0.01
SAM+仅RGB-CLIP,"{'use_sam': 1, 'multi_clip': 1}",MUUFL,4;7,road;buildings,11,0.589497,0.000000,0.336747,0.000000,0.457885,0.000000,0.792533,0.000000,0.670544,0.000000,0.726686,0.000000,0.876485,0.000000,0.527850,0.000000,0.658892,0.000000,0.702390,0.000000,0.527236,0.000000,0.602338,0.000000,14.88,0.01
SAM+仅RSICD-CLIP,"{'use_sam': 1, 'multi_clip': 0}",MUUFL,4;7,road;buildings,11,0.603577,0.000000,0.293367,0.000000,0.461724,0.000000,0.786905,0.000000,0.670154,0.000000,0.716170,0.000000,0.869408,0.000000,0.526792,0.000000,0.656062,0.000000,0.702040,0.000000,0.526669,0.000000,0.601839,0.000000,15.52,0.01
仅ERS+仅RGB-CLIP,"{'use_sam': 0, 'multi_clip': 1}",MUUFL,4;7,road;buildings,11,0.605028,0.000000,0.327579,0.000000,0.475071,0.000000,0.730096,0.000000,0.623564,0.000000,0.644912,0.000000,0.855486,0.000000,0.334772,0.000000,0.481228,0.000000,0.690167,0.000000,0.323852,0.000000,0.440844,0.000000,15.81,0.01
仅ERS+仅RSICD-CLIP,"{'use_sam': 0, 'multi_clip': 0}",MUUFL,4;7,road;buildings,11,0.591340,0.000000,0.307650,0.000000,0.460626,0.000000,0.702937,0.000000,0.603238,0.000000,0.599725,0.000000,0.875271,0.000000,0.159609,0.000000,0.269985,0.000000,0.703006,0.000000,0.154282,0.000000,0.253033,0.000000,13.84,0.01
