ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
beta_0.1,{'beta': 0.25},MUUFL,4;7,road;buildings,11,0.590419,0.000000,0.328673,0.000000,0.464212,0.000000,0.812574,0.000000,0.689476,0.000000,0.751201,0.000000,0.884027,0.000000,0.587296,0.000000,0.705740,0.000000,0.712138,0.000000,0.587496,0.000000,0.643840,0.000000,15.95,0.01
beta_0.5,{'beta': 0.5},MUUFL,4;7,road;buildings,11,0.597988,0.000000,0.313069,0.000000,0.451969,0.000000,0.813907,0.000000,0.691770,0.000000,0.753288,0.000000,0.876795,0.000000,0.615635,0.000000,0.723365,0.000000,0.708979,0.000000,0.614332,0.000000,0.658271,0.000000,16.04,0.01
beta_1.0（默认）,{'beta': 1.0},MUUFL,4;7,road;buildings,11,0.607675,0.000000,0.355149,0.000000,0.484270,0.000000,0.807554,0.000000,0.684279,0.000000,0.745282,0.000000,0.877105,0.000000,0.588274,0.000000,0.704224,0.000000,0.706113,0.000000,0.586026,0.000000,0.640489,0.000000,15.81,0.01
beta_2.0,{'beta': 2.0},MUUFL,4;7,road;buildings,11,0.609616,0.000000,0.340776,0.000000,0.484759,0.000000,0.802926,0.000000,0.679158,0.000000,0.738855,0.000000,0.878061,0.000000,0.566042,0.000000,0.688344,0.000000,0.704242,0.000000,0.566282,0.000000,0.627772,0.000000,13.34,0.01
