dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
Houston,6;14,water;tennis court,15,0.646966,0.044618,0.571143,0.050499,0.616599,0.048765,0.823868,0.007882,0.786915,0.007831,0.809750,0.008473,0.853880,0.008695,0.254062,0.033457,0.390364,0.038325,0.862674,0.008440,0.294481,0.038779,0.437608,0.041519,422.46,0.49
Houston,6;15,water;running track,15,0.608942,0.038530,0.523813,0.043723,0.574950,0.041982,0.813413,0.006968,0.791940,0.006105,0.798885,0.007426,0.857188,0.008268,0.189091,0.028065,0.308775,0.036273,0.869622,0.007922,0.287013,0.042598,0.429746,0.045738,422.54,0.49
Houston,7;8,residential buildings;commercial buildings,15,0.528662,0.028383,0.476607,0.025840,0.489017,0.030490,0.780855,0.006235,0.813532,0.006699,0.763092,0.006714,0.871737,0.007736,0.327966,0.009452,0.476520,0.009814,0.887996,0.007326,0.329512,0.009393,0.480587,0.010289,401.90,0.49
Houston,7;9,residential buildings;road,15,0.554114,0.028050,0.516024,0.026157,0.517261,0.030194,0.772894,0.010287,0.807215,0.009829,0.754443,0.011121,0.897028,0.010163,0.156791,0.021894,0.266297,0.032061,0.907430,0.008668,0.155814,0.021758,0.265371,0.032119,423.04,0.49
Houston,7;10,residential buildings;highway,15,0.589096,0.027426,0.536518,0.032464,0.554262,0.029966,0.807596,0.020557,0.834246,0.017256,0.792009,0.022200,0.871507,0.008993,0.486534,0.079720,0.620952,0.069446,0.886845,0.008462,0.492351,0.080846,0.629511,0.070254,422.62,0.49
Houston,7;11,residential buildings;railway,15,0.560603,0.035873,0.510103,0.031380,0.523618,0.039192,0.798304,0.016233,0.826267,0.015670,0.782056,0.017479,0.873690,0.011205,0.421119,0.076106,0.563970,0.074459,0.888392,0.010320,0.422454,0.076526,0.568380,0.075911,422.35,0.49
Houston,7;12,residential buildings;the first kind of parking lot,15,0.556440,0.024206,0.516815,0.029406,0.519573,0.026644,0.763378,0.010023,0.799099,0.010094,0.744173,0.010810,0.884035,0.007624,0.159074,0.030989,0.268400,0.043618,0.897900,0.007898,0.156894,0.030565,0.265941,0.043498,422.32,0.49
Houston,7;13,residential buildings;the second kind of parking lot,15,0.562747,0.023644,0.496401,0.028365,0.525278,0.025971,0.803462,0.007978,0.794254,0.006919,0.787178,0.008623,0.878393,0.011213,0.229958,0.033669,0.363030,0.042535,0.892220,0.008560,0.157475,0.023057,0.266921,0.033614,422.54,0.49
Houston,7;14,residential buildings;tennis court,15,0.593174,0.035488,0.538163,0.028900,0.558987,0.038257,0.805900,0.015983,0.789611,0.013512,0.789793,0.017286,0.876509,0.014344,0.250683,0.030840,0.389061,0.038993,0.885304,0.012530,0.167608,0.020620,0.281395,0.029983,422.66,0.49
Houston,7;15,residential buildings;running track,15,0.540575,0.023363,0.463003,0.019870,0.500881,0.025434,0.790175,0.008980,0.790770,0.006535,0.772860,0.009711,0.875167,0.011251,0.212780,0.016956,0.341927,0.021239,0.887535,0.008566,0.161794,0.012893,0.273432,0.018015,422.73,0.49
Houston,8;9,commercial buildings;road,15,0.547849,0.040363,0.502723,0.049836,0.509981,0.044142,0.781794,0.006581,0.813435,0.004507,0.764104,0.007085,0.859664,0.008041,0.390802,0.004754,0.537300,0.004396,0.878252,0.005399,0.392125,0.004770,0.542150,0.004298,389.05,0.50
