ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
margin_0.05,{'margin': 0.05},HS-SAR-Berlin,4;7,soil;water,8,0.770508,0.000000,0.390456,0.000000,0.607747,0.000000,0.923295,0.000000,0.739081,0.000000,0.874946,0.000000,0.948418,0.000000,0.463961,0.000000,0.623103,0.000000,0.877778,0.000000,0.322989,0.000000,0.472220,0.000000,594.57,0.80
margin_0.1,{'margin': 0.1},HS-SAR-Berlin,4;7,soil;water,8,0.765712,0.000000,0.394556,0.000000,0.614202,0.000000,0.923422,0.000000,0.742370,0.000000,0.875351,0.000000,0.948428,0.000000,0.466233,0.000000,0.625151,0.000000,0.881640,0.000000,0.324560,0.000000,0.474457,0.000000,594.36,0.80
margin_0.2,{'margin': 0.2},HS-SAR-Berlin,4;7,soil;water,8,0.781713,0.000000,0.401465,0.000000,0.628037,0.000000,0.924258,0.000000,0.741659,0.000000,0.876556,0.000000,0.949429,0.000000,0.464049,0.000000,0.623400,0.000000,0.881309,0.000000,0.322709,0.000000,0.472429,0.000000,594.35,0.79
margin_0.3,{'margin': 0.3},HS-SAR-Berlin,4;7,soil;water,8,0.764485,0.000000,0.358762,0.000000,0.588898,0.000000,0.923893,0.000000,0.742076,0.000000,0.876048,0.000000,0.948932,0.000000,0.466102,0.000000,0.625142,0.000000,0.881245,0.000000,0.324567,0.000000,0.474407,0.000000,593.90,0.80
