ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
beta_0.1,{'beta': 0.25},HS-SAR-Berlin,4;7,soil;water,8,0.768925,0.000000,0.388613,0.000000,0.609650,0.000000,0.934468,0.000000,0.764326,0.000000,0.893551,0.000000,0.959743,0.000000,0.472348,0.000000,0.633106,0.000000,0.908710,0.000000,0.331174,0.000000,0.485435,0.000000,593.95,0.79
beta_0.5,{'beta': 0.5},HS-SAR-Berlin,4;7,soil;water,8,0.767285,0.000000,0.393636,0.000000,0.607228,0.000000,0.932121,0.000000,0.761516,0.000000,0.889899,0.000000,0.956979,0.000000,0.477634,0.000000,0.637225,0.000000,0.904394,0.000000,0.332882,0.000000,0.486644,0.000000,594.00,0.80
beta_1.0（默认）,{'beta': 1.0},HS-SAR-Berlin,4;7,soil;water,8,0.778849,0.000000,0.408205,0.000000,0.630774,0.000000,0.923764,0.000000,0.739198,0.000000,0.875599,0.000000,0.948954,0.000000,0.463219,0.000000,0.622549,0.000000,0.877862,0.000000,0.323206,0.000000,0.472464,0.000000,594.11,0.78
beta_2.0,{'beta': 2.0},HS-SAR-Berlin,4;7,soil;water,8,0.765207,0.000000,0.362919,0.000000,0.594477,0.000000,0.914877,0.000000,0.722544,0.000000,0.860883,0.000000,0.939358,0.000000,0.467281,0.000000,0.624104,0.000000,0.854996,0.000000,0.325188,0.000000,0.471171,0.000000,594.54,0.80
