ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
SAM+双CLIP（完整）,"{'use_sam': 1, 'multi_clip': 2}",HS-SAR-Berlin,4;7,soil;water,8,0.776577,0.000000,0.392236,0.000000,0.612464,0.000000,0.924901,0.000000,0.741236,0.000000,0.877564,0.000000,0.950119,0.000000,0.463830,0.000000,0.623352,0.000000,0.880552,0.000000,0.323288,0.000000,0.472940,0.000000,594.19,0.79
仅ERS+双CLIP,"{'use_sam': 0, 'multi_clip': 2}",HS-SAR-Berlin,4;7,soil;water,8,0.764539,0.000000,0.366250,0.000000,0.584403,0.000000,0.927316,0.000000,0.761514,0.000000,0.881854,0.000000,0.950363,0.000000,0.505941,0.000000,0.660340,0.000000,0.889380,0.000000,0.377916,0.000000,0.530438,0.000000,594.13,0.80
SAM+仅RGB-CLIP,"{'use_sam': 1, 'multi_clip': 1}",HS-SAR-Berlin,4;7,soil;water,8,0.773723,0.000000,0.392787,0.000000,0.621180,0.000000,0.916866,0.000000,0.717707,0.000000,0.864547,0.000000,0.949123,0.000000,0.327101,0.000000,0.486528,0.000000,0.879849,0.000000,0.231281,0.000000,0.366280,0.000000,593.99,0.79
SAM+仅RSICD-CLIP,"{'use_sam': 1, 'multi_clip': 0}",HS-SAR-Berlin,4;7,soil;water,8,0.775338,0.000000,0.391005,0.000000,0.618524,0.000000,0.924928,0.000000,0.744206,0.000000,0.877867,0.000000,0.949687,0.000000,0.472261,0.000000,0.630825,0.000000,0.882796,0.000000,0.328436,0.000000,0.478756,0.000000,594.17,0.78
仅ERS+仅RGB-CLIP,"{'use_sam': 0, 'multi_clip': 1}",HS-SAR-Berlin,4;7,soil;water,8,0.779361,0.000000,0.393587,0.000000,0.619438,0.000000,0.925415,0.000000,0.745799,0.000000,0.878722,0.000000,0.951214,0.000000,0.453739,0.000000,0.614402,0.000000,0.889822,0.000000,0.313731,0.000000,0.463901,0.000000,593.72,0.80
仅ERS+仅RSICD-CLIP,"{'use_sam': 0, 'multi_clip': 0}",HS-SAR-Berlin,4;7,soil;water,8,0.782750,0.000000,0.401089,0.000000,0.632674,0.000000,0.926802,0.000000,0.769087,0.000000,0.880883,0.000000,0.950014,0.000000,0.502403,0.000000,0.657235,0.000000,0.886239,0.000000,0.417631,0.000000,0.567727,0.000000,594.25,0.80
