ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
margin_0.05,{'margin': 0.05},Houston,4;7,soil;commercial buildings,15,0.576174,0.000000,0.520127,0.000000,0.540798,0.000000,0.761668,0.000000,0.790300,0.000000,0.742264,0.000000,0.835264,0.000000,0.390254,0.000000,0.531963,0.000000,0.851896,0.000000,0.389924,0.000000,0.534980,0.000000,300.97,0.42
margin_0.1,{'margin': 0.1},Houston,4;7,soil;commercial buildings,15,0.516748,0.000000,0.490294,0.000000,0.477466,0.000000,0.765872,0.000000,0.795919,0.000000,0.746820,0.000000,0.840302,0.000000,0.390254,0.000000,0.532981,0.000000,0.858380,0.000000,0.389924,0.000000,0.536252,0.000000,325.63,0.41
margin_0.2,{'margin': 0.2},Houston,4;7,soil;commercial buildings,15,0.533217,0.000000,0.486839,0.000000,0.495741,0.000000,0.765102,0.000000,0.793800,0.000000,0.745995,0.000000,0.839715,0.000000,0.388559,0.000000,0.531280,0.000000,0.856196,0.000000,0.388230,0.000000,0.534224,0.000000,324.93,0.41
margin_0.3,{'margin': 0.3},Houston,4;7,soil;commercial buildings,15,0.535950,0.000000,0.527135,0.000000,0.498932,0.000000,0.768255,0.000000,0.797952,0.000000,0.749411,0.000000,0.843157,0.000000,0.390254,0.000000,0.533554,0.000000,0.860725,0.000000,0.389924,0.000000,0.536709,0.000000,324.42,0.41
