ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
SAM+双CLIP（完整）,"{'use_sam': 1, 'multi_clip': 2}",Houston,4;7,soil;commercial buildings,15,0.538542,0.000000,0.501502,0.000000,0.501247,0.000000,0.763700,0.000000,0.792768,0.000000,0.744481,0.000000,0.837364,0.000000,0.391949,0.000000,0.533963,0.000000,0.854483,0.000000,0.391617,0.000000,0.537084,0.000000,280.40,0.42
仅ERS+双CLIP,"{'use_sam': 0, 'multi_clip': 2}",Houston,4;7,soil;commercial buildings,15,0.521023,0.000000,0.470854,0.000000,0.481590,0.000000,0.766433,0.000000,0.795457,0.000000,0.747452,0.000000,0.819312,0.000000,0.499576,0.000000,0.620688,0.000000,0.840912,0.000000,0.500000,0.000000,0.627119,0.000000,324.63,0.41
SAM+仅RGB-CLIP,"{'use_sam': 1, 'multi_clip': 1}",Houston,4;7,soil;commercial buildings,15,0.586265,0.000000,0.531971,0.000000,0.552823,0.000000,0.759075,0.000000,0.789797,0.000000,0.739477,0.000000,0.833081,0.000000,0.385593,0.000000,0.527180,0.000000,0.852033,0.000000,0.385267,0.000000,0.530607,0.000000,325.08,0.43
SAM+仅RSICD-CLIP,"{'use_sam': 1, 'multi_clip': 0}",Houston,4;7,soil;commercial buildings,15,0.561668,0.000000,0.496941,0.000000,0.525012,0.000000,0.806377,0.000000,0.827660,0.000000,0.790770,0.000000,0.865575,0.000000,0.507627,0.000000,0.639949,0.000000,0.876867,0.000000,0.507814,0.000000,0.643160,0.000000,325.66,0.45
仅ERS+仅RGB-CLIP,"{'use_sam': 0, 'multi_clip': 1}",Houston,4;7,soil;commercial buildings,15,0.541486,0.000000,0.498159,0.000000,0.503019,0.000000,0.784933,0.000000,0.812422,0.000000,0.767512,0.000000,0.841478,0.000000,0.499576,0.000000,0.626943,0.000000,0.860487,0.000000,0.500000,0.000000,0.632485,0.000000,325.18,0.41
仅ERS+仅RSICD-CLIP,"{'use_sam': 0, 'multi_clip': 0}",Houston,4;7,soil;commercial buildings,15,0.446811,0.000000,0.415743,0.000000,0.402592,0.000000,0.777015,0.000000,0.799204,0.000000,0.758819,0.000000,0.831990,0.000000,0.499576,0.000000,0.624291,0.000000,0.845235,0.000000,0.500000,0.000000,0.628318,0.000000,324.96,0.42
