ablation_name,ablation_config,dataset,unseen_idx,unseen_names,nclass,pre_OA_mean,pre_OA_std,pre_AA_mean,pre_AA_std,pre_Kappa_mean,pre_Kappa_std,OA_mean,OA_std,AA_mean,AA_std,Kappa_mean,Kappa_std,S_OA_mean,S_OA_std,U_OA_mean,U_OA_std,H_OA_mean,H_OA_std,S_AA_mean,S_AA_std,U_AA_mean,U_AA_std,H_AA_mean,H_AA_std,avg_train_time,avg_test_time
beta_0.1,{'beta': 0.25},Houston,4;7,soil;commercial buildings,15,0.546671,0,0.494431,0,0.510043,0,0.776244,0,0.806311,0,0.758023,0,0.851217,0,0.397881,0,0.542285,0,0.869199,0,0.397544,0,0.545565,0,324.85,0.41
beta_0.5,{'beta': 0.5},Houston,4;7,soil;commercial buildings,15,0.516328,0,0.496614,0,0.47765,0,0.771198,0,0.800799,0,0.752594,0,0.846516,0,0.391102,0,0.535018,0,0.86388,0,0.390771,0,0.538124,0,324.8,0.4
beta_1.0,{'beta': 1.0},Houston,4;7,soil;commercial buildings,15,0.504064,0,0.476323,0,0.463536,0,0.762369,0,0.790617,0,0.743029,0,0.836272,0,0.389407,0,0.531379,0,0.852392,0,0.389077,0,0.53428,0,324.91,0.41
beta_2.0,{'beta': 2.0},Houston,4;7,soil;commercial buildings,15,0.553189,0,0.504061,0,0.515813,0,0.762228,0,0.790622,0,0.742852,0,0.835516,0,0.392373,0,0.53398,0,0.851943,0,0.392041,0,0.536979,0,324.78,0.41
